DISTRICT,latitude,long,YEAR,MURDER,ATTEMPT TO MURDER,RAPE,KIDNAPPING & ABDUCTION,DACOITY,ROBBERY,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,ARSON
NORTH,28.7886,77.1412,2013,29,25,53,266,2,87,164,1
NORTH EAST,28.7184,77.258,2013,69,87,183,923,5,223,333,12
NORTH WEST,28.7186,77.0685,2013,47,56,143,597,10,194,301,10
OUTER,28.5982,76.9899,2013,88,84,178,923,6,134,332,11
SOUTH,28.4817,77.1873,2013,23,35,163,539,0,68,539,7
SOUTH EAST,28.563,77.2611,2013,60,68,230,719,2,132,386,0
SOUTH WEST,28.5929,77.0346,2013,52,61,194,556,1,116,419,15
OUTER,28.5982,76.9899,2013,0,5,0,0,0,0,0,4
WEST,28.6663,77.068,2013,55,54,184,711,1,64,400,2
CENTRAL,28.6643,77.2167,2014,30,44,62,0,3,0,576,0
EAST,28.628,77.2956,2014,61,93,185,0,17,6,999,0
IGI AIRPORT,28.5562,77.1,2014,1,0,0,0,0,0,1,0
Chandni chowk metro station,28.6588,77.2304,2014,10,3,0,4,0,60,9,9
NEW DELHI,28.6139,77.209,2014,6,8,10,0,2,0,53,14
NORTH,28.7886,77.1412,2014,31,28,40,0,9,3,653,13
NORTH EAST,28.7184,77.258,2014,84,110,192,0,17,7,1049,11
NORTH WEST,28.7186,77.0685,2014,48,81,57,0,9,12,935,1
OUTER,28.5982,76.9899,2014,87,89,122,0,1,9,1842,2
hazrat nizamuddin railway station,28.5889,77.2534,2014,10,4,88,20,1,0,100,10
SOUTH,28.4817,77.1873,2014,40,58,83,0,18,10,1249,10
SOUTH EAST,28.563,77.2611,2014,67,83,68,0,20,6,1065,0
SOUTH WEST,28.5929,77.0346,2014,66,88,68,0,23,16,913,0
OUTER,28.5982,76.9899,2014,0,1,0,0,0,0,0,0
OUTER,28.5982,76.9899,2014,0,0,0,0,0,0,0,5
OUTER,28.5982,76.9899,2014,0,0,0,0,0,0,0,5
WEST,28.6663,77.068,2014,55,77,101,0,27,1,972,10
